gelF_I_3mm18	gelF_I_3mm18	gelF_I_3mm18	
0.28821	0.665	66.57	
0.418641	0.665	66.575	
0.538553	0.665	66.58	
0.403915	0.665	66.585	
0.244032	0.665	66.59	
0.382877	0.665	66.595	
0.561694	0.665	66.6	
0.458611	0.666	66.605	
0.328181	0.666	66.61	
0.481752	0.666	66.615	
0.631117	0.666	66.62	
0.450197	0.666	66.625	
0.262965	0.666	66.63	
0.376566	0.666	66.635	
0.544864	0.666	66.64	
0.418641	0.666	66.645	
0.258758	0.666	66.65	
0.414433	0.666	66.655	
0.574316	0.666	66.66	
0.443885	0.666	66.665	
0.27138	0.666	66.67	
0.391292	0.666	66.675	
0.538553	0.666	66.68	
0.408122	0.666	66.685	
0.262965	0.666	66.69	
0.403915	0.666	66.695	
0.582731	0.666	66.7	
0.488064	0.667	66.705	
0.351322	0.667	66.71	
0.500686	0.667	66.715	
0.641635	0.667	66.72	
0.429159	0.667	66.725	
0.237721	0.667	66.73	
0.372359	0.667	66.735	
0.546968	0.667	66.74	
0.397603	0.667	66.745	
0.27138	0.667	66.75	
0.410226	0.667	66.755	
0.570109	0.667	66.76	
0.406018	0.667	66.765	
0.265069	0.667	66.77	
0.3955	0.667	66.775	
0.580627	0.667	66.78	
0.467026	0.667	66.785	
0.315558	0.667	66.79	
0.450197	0.667	66.795	
0.614287	0.667	66.8	
0.492271	0.668	66.805	
0.332388	0.668	66.81	
0.479649	0.668	66.815	
0.620598	0.668	66.82	
0.424952	0.668	66.825	
0.229306	0.668	66.83	
0.393396	0.668	66.835	
0.553279	0.668	66.84	
0.406018	0.668	66.845	
0.252447	0.668	66.85	
0.410226	0.668	66.855	
0.591146	0.668	66.86	
0.445989	0.668	66.865	
0.281899	0.668	66.87	
0.403915	0.668	66.875	
0.572212	0.668	66.88	
0.448093	0.668	66.885	
0.27138	0.668	66.89	
0.380774	0.668	66.895	
0.57642	0.668	66.9	
0.473337	0.669	66.905	
0.332388	0.669	66.91	
0.500686	0.669	66.915	
0.643739	0.669	66.92	
0.431263	0.669	66.925	
0.229306	0.669	66.93	
0.342907	0.669	66.935	
0.519619	0.669	66.94	
0.401811	0.669	66.945	
0.262965	0.669	66.95	
0.456508	0.669	66.955	
0.626909	0.669	66.96	
0.467026	0.669	66.965	
0.27138	0.669	66.97	
0.380774	0.669	66.975	
0.523827	0.669	66.98	
0.37867	0.669	66.985	
0.239824	0.669	66.99	
0.420744	0.669	66.995	
0.641635	0.669	67	
0.528034	0.67	67.005	
0.363944	0.67	67.01	
0.511204	0.67	67.015	
0.637428	0.67	67.02	
0.403915	0.67	67.025	
0.199854	0.67	67.03	
0.366048	0.67	67.035	
0.570109	0.67	67.04	
0.429159	0.67	67.045	
0.286106	0.67	67.05	
0.439678	0.67	67.055	
0.616391	0.67	67.06	
0.4523	0.67	67.065	
0.244032	0.67	67.07	
0.351322	0.67	67.075	
0.544864	0.67	67.08	
0.443885	0.67	67.085	
0.28821	0.67	67.09	
0.427056	0.67	67.095	
0.629013	0.67	67.1	
0.511204	0.671	67.105	
0.336596	0.671	67.11	
0.471234	0.671	67.115	
0.622702	0.671	67.12	
0.4523	0.671	67.125	
0.260862	0.671	67.13	
0.37867	0.671	67.135	
0.568005	0.671	67.14	
0.454404	0.671	67.145	
0.279795	0.671	67.15	
0.414433	0.671	67.155	
0.591146	0.671	67.16	
0.4523	0.671	67.165	
0.27138	0.671	67.17	
0.366048	0.671	67.175	
0.557486	0.671	67.18	
0.4523	0.671	67.185	
0.290314	0.671	67.19	
0.399707	0.671	67.195	
0.578524	0.671	67.2	
0.471234	0.672	67.205	
0.307143	0.672	67.21	
0.445989	0.672	67.215	
0.605872	0.672	67.22	
0.441782	0.672	67.225	
0.269276	0.672	67.23	
0.374463	0.672	67.235	
0.544864	0.672	67.24	
0.424952	0.672	67.245	
0.256654	0.672	67.25	
0.37867	0.672	67.255	
0.555383	0.672	67.26	
0.448093	0.672	67.265	
0.307143	0.672	67.27	
0.437574	0.672	67.275	
0.59325	0.672	67.28	
0.496478	0.672	67.285	
0.334492	0.672	67.29	
0.414433	0.672	67.295	
0.584835	0.672	67.3	
0.475441	0.673	67.305	
0.302936	0.673	67.31	
0.43547	0.673	67.315	
0.591146	0.673	67.32	
0.454404	0.673	67.325	
0.258758	0.673	67.33	
0.368151	0.673	67.335	
0.538553	0.673	67.34	
0.427056	0.673	67.345	
0.298729	0.673	67.35	
0.439678	0.673	67.355	
0.591146	0.673	67.36	
0.477545	0.673	67.365	
0.313455	0.673	67.37	
0.410226	0.673	67.375	
0.572212	0.673	67.38	
0.462819	0.673	67.385	
0.300832	0.673	67.39	
0.384981	0.673	67.395	
0.549071	0.673	67.4	
0.454404	0.674	67.405	
0.311351	0.674	67.41	
0.437574	0.674	67.415	
0.595353	0.674	67.42	
0.448093	0.674	67.425	
0.296625	0.674	67.43	
0.41233	0.674	67.435	
0.565901	0.674	67.44	
0.441782	0.674	67.445	
0.265069	0.674	67.45	
0.399707	0.674	67.455	
0.568005	0.674	67.46	
0.462819	0.674	67.465	
0.30504	0.674	67.47	
0.399707	0.674	67.475	
0.557486	0.674	67.48	
0.460715	0.674	67.485	
0.323973	0.674	67.49	
0.41233	0.674	67.495	
0.568005	0.674	67.5	
0.450197	0.675	67.505	
0.311351	0.675	67.51	
0.475441	0.675	67.515	
0.631117	0.675	67.52	
0.477545	0.675	67.525	
0.302936	0.675	67.53	
0.429159	0.675	67.535	
0.578524	0.675	67.54	
0.387085	0.675	67.545	
0.233513	0.675	67.55	
0.336596	0.675	67.555	
0.528034	0.675	67.56	
0.422848	0.675	67.565	
0.294521	0.675	67.57	
0.408122	0.675	67.575	
0.568005	0.675	67.58	
0.471234	0.675	67.585	
0.328181	0.675	67.59	
0.433367	0.675	67.595	
0.580627	0.675	67.6	
0.456508	0.676	67.605	
0.330284	0.676	67.61	
0.488064	0.676	67.615	
0.639532	0.676	67.62	
0.454404	0.676	67.625	
0.281899	0.676	67.63	
0.410226	0.676	67.635	
0.565901	0.676	67.64	
0.410226	0.676	67.645	
0.246135	0.676	67.65	
0.384981	0.676	67.655	
0.538553	0.676	67.66	
0.433367	0.676	67.665	
0.294521	0.676	67.67	
0.460715	0.676	67.675	
0.631117	0.676	67.68	
0.515412	0.676	67.685	
0.355529	0.676	67.69	
0.454404	0.676	67.695	
0.574316	0.676	67.7	
0.431263	0.677	67.705	
0.294521	0.677	67.71	
0.460715	0.677	67.715	
0.584835	0.677	67.72	
0.433367	0.677	67.725	
0.262965	0.677	67.73	
0.380774	0.677	67.735	
0.525931	0.677	67.74	
0.393396	0.677	67.745	
0.275588	0.677	67.75	
0.443885	0.677	67.755	
0.63322	0.677	67.76	
0.506997	0.677	67.765	
0.355529	0.677	67.77	
0.464923	0.677	67.775	
0.591146	0.677	67.78	
0.431263	0.677	67.785	
0.265069	0.677	67.79	
0.389189	0.677	67.795	
0.532242	0.677	67.8	
0.414433	0.678	67.805	
0.300832	0.678	67.81	
0.473337	0.678	67.815	
0.603768	0.678	67.82	
0.439678	0.678	67.825	
0.27138	0.678	67.83	
0.41233	0.678	67.835	
0.574316	0.678	67.84	
0.422848	0.678	67.845	
0.30504	0.678	67.85	
0.467026	0.678	67.855	
0.614287	0.678	67.86	
0.467026	0.678	67.865	
0.298729	0.678	67.87	
0.389189	0.678	67.875	
0.498582	0.678	67.88	
0.36184	0.678	67.885	
0.239824	0.678	67.89	
0.387085	0.678	67.895	
0.549071	0.678	67.9	
0.458611	0.679	67.905	
0.34501	0.679	67.91	
0.496478	0.679	67.915	
0.612183	0.679	67.92	
0.443885	0.679	67.925	
0.300832	0.679	67.93	
0.429159	0.679	67.935	
0.595353	0.679	67.94	
0.462819	0.679	67.945	
0.30504	0.679	67.95	
0.437574	0.679	67.955	
0.595353	0.679	67.96	
0.46913	0.679	67.965	
0.319766	0.679	67.97	
0.433367	0.679	67.975	
0.565901	0.679	67.98	
0.406018	0.679	67.985	
0.258758	0.679	67.99	
0.382877	0.679	67.995	
0.540657	0.679	68	
0.460715	0.68	68.005	
0.397603	0.68	68.01	
0.570109	0.68	68.015	
0.704747	0.68	68.02	
0.515412	0.68	68.025	
0.30504	0.68	68.03	
0.422848	0.68	68.035	
0.551175	0.68	68.04	
0.37867	0.68	68.045	
0.237721	0.68	68.05	
0.384981	0.68	68.055	
0.563798	0.68	68.06	
0.433367	0.68	68.065	
0.286106	0.68	68.07	
0.391292	0.68	68.075	
0.551175	0.68	68.08	
0.429159	0.68	68.085	
0.290314	0.68	68.09	
0.431263	0.68	68.095	
0.601665	0.68	68.1	
0.490167	0.681	68.105	
0.355529	0.681	68.11	
0.498582	0.681	68.115	
0.601665	0.681	68.12	
0.418641	0.681	68.125	
0.25455	0.681	68.13	
0.408122	0.681	68.135	
0.595353	0.681	68.14	
0.456508	0.681	68.145	
0.309247	0.681	68.15	
0.424952	0.681	68.155	
0.549071	0.681	68.16	
0.3955	0.681	68.165	
0.235617	0.681	68.17	
0.387085	0.681	68.175	
0.561694	0.681	68.18	
0.464923	0.681	68.185	
0.347114	0.681	68.19	
0.473337	0.681	68.195	
0.641635	0.681	68.2	
0.496478	0.682	68.205	
0.319766	0.682	68.21	
0.467026	0.682	68.215	
0.601665	0.682	68.22	
0.431263	0.682	68.225	
0.273484	0.682	68.23	
0.439678	0.682	68.235	
0.597457	0.682	68.24	
0.445989	0.682	68.245	
0.281899	0.682	68.25	
0.3955	0.682	68.255	
0.519619	0.682	68.26	
0.370255	0.682	68.265	
0.212476	0.682	68.27	
0.408122	0.682	68.275	
0.610079	0.682	68.28	
0.500686	0.682	68.285	
0.359736	0.682	68.29	
0.515412	0.682	68.295	
0.639532	0.682	68.3	
0.492271	0.683	68.305	
0.302936	0.683	68.31	
0.429159	0.683	68.315	
0.565901	0.683	68.32	
0.384981	0.683	68.325	
0.235617	0.683	68.33	
0.418641	0.683	68.335	
0.610079	0.683	68.34	
0.456508	0.683	68.345	
0.279795	0.683	68.35	
0.399707	0.683	68.355	
0.544864	0.683	68.36	
0.41233	0.683	68.365	
0.281899	0.683	68.37	
0.441782	0.683	68.375	
0.639532	0.683	68.38	
0.528034	0.683	68.385	
0.353425	0.683	68.39	
0.431263	0.683	68.395	
0.55959	0.683	68.4	
0.384981	0.684	68.405	
0.235617	0.684	68.41	
0.403915	0.684	68.415	
0.599561	0.684	68.42	
0.443885	0.684	68.425	
0.300832	0.684	68.43	
0.462819	0.684	68.435	
0.63322	0.684	68.44	
0.454404	0.684	68.445	
0.265069	0.684	68.45	
0.387085	0.684	68.455	
0.555383	0.684	68.46	
0.437574	0.684	68.465	
0.286106	0.684	68.47	
0.429159	0.684	68.475	
0.612183	0.684	68.48	
0.498582	0.684	68.485	
0.313455	0.684	68.49	
0.408122	0.684	68.495	
0.55959	0.684	68.5	
0.448093	0.685	68.505	
0.290314	0.685	68.51	
0.431263	0.685	68.515	
0.599561	0.685	68.52	
0.443885	0.685	68.525	
0.267173	0.685	68.53	
0.410226	0.685	68.535	
0.595353	0.685	68.54	
0.475441	0.685	68.545	
0.315558	0.685	68.55	
0.439678	0.685	68.555	
0.586938	0.685	68.56	
0.439678	0.685	68.565	
0.260862	0.685	68.57	
0.376566	0.685	68.575	
0.568005	0.685	68.58	
0.490167	0.685	68.585	
0.321869	0.685	68.59	
0.450197	0.685	68.595	
0.601665	0.685	68.6	
0.475441	0.686	68.605	
0.302936	0.686	68.61	
0.418641	0.686	68.615	
0.601665	0.686	68.62	
0.475441	0.686	68.625	
0.332388	0.686	68.63	
0.467026	0.686	68.635	
0.597457	0.686	68.64	
0.450197	0.686	68.645	
0.258758	0.686	68.65	
0.355529	0.686	68.655	
0.519619	0.686	68.66	
0.424952	0.686	68.665	
0.315558	0.686	68.67	
0.437574	0.686	68.675	
0.610079	0.686	68.68	
0.496478	0.686	68.685	
0.321869	0.686	68.69	
0.380774	0.686	68.695	
0.506997	0.686	68.7	
0.418641	0.687	68.705	
0.302936	0.687	68.71	
0.462819	0.687	68.715	
0.645843	0.687	68.72	
0.511204	0.687	68.725	
0.296625	0.687	68.73	
0.374463	0.687	68.735	
0.498582	0.687	68.74	
0.359736	0.687	68.745	
0.206165	0.687	68.75	
0.349218	0.687	68.755	
0.551175	0.687	68.76	
0.506997	0.687	68.765	
0.406018	0.687	68.77	
0.496478	0.687	68.775	
0.59325	0.687	68.78	
0.4523	0.687	68.785	
0.273484	0.687	68.79	
0.376566	0.687	68.795	
0.544864	0.687	68.8	
0.481752	0.688	68.805	
0.384981	0.688	68.81	
0.561694	0.688	68.815	
0.700539	0.688	68.82	
0.467026	0.688	68.825	
0.25455	0.688	68.83	
0.332388	0.688	68.835	
0.488064	0.688	68.84	
0.347114	0.688	68.845	
0.250343	0.688	68.85	
0.416537	0.688	68.855	
0.605872	0.688	68.86	
0.50279	0.688	68.865	
0.359736	0.688	68.87	
0.471234	0.688	68.875	
0.597457	0.688	68.88	
0.4523	0.688	68.885	
0.277691	0.688	68.89	
0.380774	0.688	68.895	
0.553279	0.688	68.9	
0.460715	0.689	68.905	
0.349218	0.689	68.91	
0.515412	0.689	68.915	
0.643739	0.689	68.92	
0.462819	0.689	68.925	
0.267173	0.689	68.93	
0.380774	0.689	68.935	
0.528034	0.689	68.94	
0.359736	0.689	68.945	
0.250343	0.689	68.95	
0.441782	0.689	68.955	
0.610079	0.689	68.96	
0.494375	0.689	68.965	
0.338699	0.689	68.97	
0.433367	0.689	68.975	
0.563798	0.689	68.98	
0.410226	0.689	68.985	
0.256654	0.689	68.99	
0.387085	0.689	68.995	
0.570109	0.689	69	
0.475441	0.69	69.005	
0.363944	0.69	69.01	
0.534345	0.69	69.015	
0.660569	0.69	69.02	
0.454404	0.69	69.025	
0.279795	0.69	69.03	
0.408122	0.69	69.035	
0.546968	0.69	69.04	
0.399707	0.69	69.045	
0.25455	0.69	69.05	
0.408122	0.69	69.055	
0.582731	0.69	69.06	
0.454404	0.69	69.065	
0.311351	0.69	69.07	
0.4523	0.69	69.075	
0.597457	0.69	69.08	
0.488064	0.69	69.085	
0.317662	0.69	69.09	
0.424952	0.69	69.095	
0.570109	0.69	69.1	
0.460715	0.691	69.105	
0.315558	0.691	69.11	
0.490167	0.691	69.115	
0.639532	0.691	69.12	
0.475441	0.691	69.125	
0.307143	0.691	69.13	
0.420744	0.691	69.135	
0.544864	0.691	69.14	
0.389189	0.691	69.145	
0.241928	0.691	69.15	
0.403915	0.691	69.155	
0.59325	0.691	69.16	
0.483856	0.691	69.165	
0.363944	0.691	69.17	
0.511204	0.691	69.175	
0.635324	0.691	69.18	
0.488064	0.691	69.185	
0.300832	0.691	69.19	
0.393396	0.691	69.195	
0.544864	0.691	69.2	
0.443885	0.692	69.205	
0.330284	0.692	69.21	
0.481752	0.692	69.215	
0.641635	0.692	69.22	
0.458611	0.692	69.225	
0.290314	0.692	69.23	
0.408122	0.692	69.235	
0.549071	0.692	69.24	
0.414433	0.692	69.245	
0.296625	0.692	69.25	
0.471234	0.692	69.255	
0.620598	0.692	69.26	
0.490167	0.692	69.265	
0.298729	0.692	69.27	
0.418641	0.692	69.275	
0.553279	0.692	69.28	
0.450197	0.692	69.285	
0.321869	0.692	69.29	
0.479649	0.692	69.295	
0.63322	0.692	69.3	
0.517516	0.693	69.305	
0.363944	0.693	69.31	
0.467026	0.693	69.315	
0.574316	0.693	69.32	
0.3955	0.693	69.325	
0.244032	0.693	69.33	
0.397603	0.693	69.335	
0.557486	0.693	69.34	
0.437574	0.693	69.345	
0.298729	0.693	69.35	
0.43547	0.693	69.355	
0.582731	0.693	69.36	
0.408122	0.693	69.365	
0.250343	0.693	69.37	
0.382877	0.693	69.375	
0.557486	0.693	69.38	
0.477545	0.693	69.385	
0.389189	0.693	69.39	
0.55959	0.693	69.395	
0.694228	0.693	69.4	
0.515412	0.694	69.405	
0.298729	0.694	69.41	
0.416537	0.694	69.415	
0.523827	0.694	69.42	
0.338699	0.694	69.425	
0.208268	0.694	69.43	
0.414433	0.694	69.435	
0.599561	0.694	69.44	
0.456508	0.694	69.445	
0.290314	0.694	69.45	
0.391292	0.694	69.455	
0.534345	0.694	69.46	
0.397603	0.694	69.465	
0.28821	0.694	69.47	
0.46913	0.694	69.475	
0.673191	0.694	69.48	
0.572212	0.694	69.485	
0.3955	0.694	69.49	
0.490167	0.694	69.495	
0.591146	0.694	69.5	
0.384981	0.695	69.505	
0.204061	0.695	69.51	
0.36184	0.695	69.515	
0.557486	0.695	69.52	
0.429159	0.695	69.525	
0.317662	0.695	69.53	
0.517516	0.695	69.535	
0.673191	0.695	69.54	
0.492271	0.695	69.545	
0.262965	0.695	69.55	
0.382877	0.695	69.555	
0.515412	0.695	69.56	
0.380774	0.695	69.565	
0.258758	0.695	69.57	
0.4523	0.695	69.575	
0.662672	0.695	69.58	
0.528034	0.695	69.585	
0.315558	0.695	69.59	
0.401811	0.695	69.595	
0.530138	0.695	69.6	
0.37867	0.696	69.605	
0.227202	0.696	69.61	
0.43547	0.696	69.615	
0.631117	0.696	69.62	
0.481752	0.696	69.625	
0.298729	0.696	69.63	
0.43547	0.696	69.635	
0.55959	0.696	69.64	
0.37867	0.696	69.645	
0.199854	0.696	69.65	
0.342907	0.696	69.655	
0.582731	0.696	69.66	
0.462819	0.696	69.665	
0.330284	0.696	69.67	
0.477545	0.696	69.675	
0.639532	0.696	69.68	
0.48596	0.696	69.685	
0.265069	0.696	69.69	
0.347114	0.696	69.695	
0.511204	0.696	69.7	
0.41233	0.697	69.705	
0.292417	0.697	69.71	
0.494375	0.697	69.715	
0.664776	0.697	69.72	
0.479649	0.697	69.725	
0.267173	0.697	69.73	
0.393396	0.697	69.735	
0.538553	0.697	69.74	
0.384981	0.697	69.745	
0.239824	0.697	69.75	
0.403915	0.697	69.755	
0.629013	0.697	69.76	
0.513308	0.697	69.765	
0.347114	0.697	69.77	
0.464923	0.697	69.775	
0.616391	0.697	69.78	
0.46913	0.697	69.785	
0.290314	0.697	69.79	
0.397603	0.697	69.795	
0.578524	0.697	69.8	
0.481752	0.698	69.805	
0.321869	0.698	69.81	
0.464923	0.698	69.815	
0.639532	0.698	69.82	
0.483856	0.698	69.825	
0.298729	0.698	69.83	
0.420744	0.698	69.835	
0.586938	0.698	69.84	
0.429159	0.698	69.845	
0.248239	0.698	69.85	
0.401811	0.698	69.855	
0.570109	0.698	69.86	
0.460715	0.698	69.865	
0.309247	0.698	69.87	
0.445989	0.698	69.875	
0.622702	0.698	69.88	
0.483856	0.698	69.885	
0.307143	0.698	69.89	
0.408122	0.698	69.895	
0.565901	0.698	69.9	
0.46913	0.699	69.905	
0.321869	0.699	69.91	
0.450197	0.699	69.915	
0.614287	0.699	69.92	
0.456508	0.699	69.925	
0.27138	0.699	69.93	
0.389189	0.699	69.935	
0.561694	0.699	69.94	
0.437574	0.699	69.945	
0.277691	0.699	69.95	
0.414433	0.699	69.955	
0.582731	0.699	69.96	
0.504893	0.699	69.965	
0.351322	0.699	69.97	
0.456508	0.699	69.975	
0.618494	0.699	69.98	
0.483856	0.699	69.985	
0.319766	0.699	69.99	
0.401811	0.699	69.995	
0.553279	0.699	70	
0.448093	0.7	70.005	
0.313455	0.7	70.01	
0.46913	0.7	70.015	
0.637428	0.7	70.02	
0.445989	0.7	70.025	
0.267173	0.7	70.03	
0.391292	0.7	70.035	
0.561694	0.7	70.04	
0.441782	0.7	70.045	
0.294521	0.7	70.05	
0.445989	0.7	70.055	
0.631117	0.7	70.06	
0.525931	0.7	70.065	
0.349218	0.7	70.07	
0.439678	0.7	70.075	
0.570109	0.7	70.08	
0.445989	0.7	70.085	
0.284002	0.7	70.09	
0.380774	0.7	70.095	
0.538553	0.7	70.1	
0.460715	0.701	70.105	
0.351322	0.701	70.11	
0.496478	0.701	70.115	
0.65005	0.701	70.12	
0.46913	0.701	70.125	
0.275588	0.701	70.13	
0.391292	0.701	70.135	
0.536449	0.701	70.14	
0.420744	0.701	70.145	
0.277691	0.701	70.15	
0.43547	0.701	70.155	
0.612183	0.701	70.16	
0.504893	0.701	70.165	
0.338699	0.701	70.17	
0.427056	0.701	70.175	
0.563798	0.701	70.18	
0.448093	0.701	70.185	
0.277691	0.701	70.19	
0.384981	0.701	70.195	
0.544864	0.701	70.2	
0.443885	0.702	70.205	
0.330284	0.702	70.21	
0.48596	0.702	70.215	
0.618494	0.702	70.22	
0.443885	0.702	70.225	
0.267173	0.702	70.23	
0.418641	0.702	70.235	
0.584835	0.702	70.24	
0.439678	0.702	70.245	
0.298729	0.702	70.25	
0.43547	0.702	70.255	
0.597457	0.702	70.26	
0.467026	0.702	70.265	
0.30504	0.702	70.27	
0.403915	0.702	70.275	
0.55959	0.702	70.28	
0.416537	0.702	70.285	
0.27138	0.702	70.29	
0.391292	0.702	70.295	
0.572212	0.702	70.3	
0.475441	0.703	70.305	
0.351322	0.703	70.31	
0.521723	0.703	70.315	
0.641635	0.703	70.32	
0.43547	0.703	70.325	
0.256654	0.703	70.33	
0.414433	0.703	70.335	
0.599561	0.703	70.34	
0.479649	0.703	70.345	
0.332388	0.703	70.35	
0.439678	0.703	70.355	
0.572212	0.703	70.36	
0.408122	0.703	70.365	
0.231409	0.703	70.37	
0.368151	0.703	70.375	
0.540657	0.703	70.38	
0.456508	0.703	70.385	
0.307143	0.703	70.39	
0.448093	0.703	70.395	
0.624805	0.703	70.4	
0.504893	0.704	70.405	
0.366048	0.704	70.41	
0.494375	0.704	70.415	
0.605872	0.704	70.42	
0.408122	0.704	70.425	
0.239824	0.704	70.43	
0.382877	0.704	70.435	
0.546968	0.704	70.44	
0.441782	0.704	70.445	
0.315558	0.704	70.45	
0.481752	0.704	70.455	
0.629013	0.704	70.46	
0.433367	0.704	70.465	
0.267173	0.704	70.47	
0.387085	0.704	70.475	
0.557486	0.704	70.48	
0.450197	0.704	70.485	
0.317662	0.704	70.49	
0.473337	0.704	70.495	
0.65005	0.704	70.5	
0.521723	0.705	70.505	
0.351322	0.705	70.51	
0.450197	0.705	70.515	
0.580627	0.705	70.52	
0.416537	0.705	70.525	
0.262965	0.705	70.53	
0.429159	0.705	70.535	
0.607976	0.705	70.54	
0.494375	0.705	70.545	
0.338699	0.705	70.55	
0.456508	0.705	70.555	
0.586938	0.705	70.56	
0.410226	0.705	70.565	
0.269276	0.705	70.57	
0.391292	0.705	70.575	
0.580627	0.705	70.58	
0.479649	0.705	70.585	
0.340803	0.705	70.59	
0.467026	0.705	70.595	
0.641635	0.705	70.6	
0.483856	0.706	70.605	
0.307143	0.706	70.61	
0.448093	0.706	70.615	
0.586938	0.706	70.62	
0.416537	0.706	70.625	
0.262965	0.706	70.63	
0.433367	0.706	70.635	
0.584835	0.706	70.64	
0.422848	0.706	70.645	
0.239824	0.706	70.65	
0.399707	0.706	70.655	
0.578524	0.706	70.66	
0.454404	0.706	70.665	
0.317662	0.706	70.67	
0.46913	0.706	70.675	
0.63322	0.706	70.68	
0.50279	0.706	70.685	
0.296625	0.706	70.69	
0.389189	0.706	70.695	
0.549071	0.706	70.7	
0.441782	0.707	70.705	
0.334492	0.707	70.71	
0.490167	0.707	70.715	
0.65005	0.707	70.72	
0.473337	0.707	70.725	
0.290314	0.707	70.73	
0.416537	0.707	70.735	
0.565901	0.707	70.74	
0.403915	0.707	70.745	
0.246135	0.707	70.75	
0.410226	0.707	70.755	
0.614287	0.707	70.76	
0.515412	0.707	70.765	
0.330284	0.707	70.77	
0.458611	0.707	70.775	
0.605872	0.707	70.78	
0.467026	0.707	70.785	
0.277691	0.707	70.79	
0.36184	0.707	70.795	
0.553279	0.707	70.8	
0.460715	0.708	70.805	
0.340803	0.708	70.81	
0.511204	0.708	70.815	
0.679502	0.708	70.82	
0.504893	0.708	70.825	
0.311351	0.708	70.83	
0.41233	0.708	70.835	
0.546968	0.708	70.84	
0.37867	0.708	70.845	
0.201957	0.708	70.85	
0.347114	0.708	70.855	
0.578524	0.708	70.86	
0.475441	0.708	70.865	
0.34501	0.708	70.87	
0.483856	0.708	70.875	
0.656361	0.708	70.88	
0.517516	0.708	70.885	
0.315558	0.708	70.89	
0.391292	0.708	70.895	
0.544864	0.708	70.9	
0.429159	0.709	70.905	
0.326077	0.709	70.91	
0.523827	0.709	70.915	
0.700539	0.709	70.92	
0.534345	0.709	70.925	
0.338699	0.709	70.93	
0.441782	0.709	70.935	
0.565901	0.709	70.94	
0.387085	0.709	70.945	
0.204061	0.709	70.95	
0.349218	0.709	70.955	
0.544864	0.709	70.96	
0.43547	0.709	70.965	
0.326077	0.709	70.97	
0.48596	0.709	70.975	
0.668984	0.709	70.98	
0.517516	0.709	70.985	
0.300832	0.709	70.99	
0.382877	0.709	70.995	
0.555383	0.709	71	
0.445989	0.71	71.005	
0.311351	0.71	71.01	
0.475441	0.71	71.015	
0.664776	0.71	71.02	
0.496478	0.71	71.025	
0.30504	0.71	71.03	
0.420744	0.71	71.035	
0.565901	0.71	71.04	
0.414433	0.71	71.045	
0.231409	0.71	71.05	
0.382877	0.71	71.055	
0.561694	0.71	71.06	
0.462819	0.71	71.065	
0.326077	0.71	71.07	
0.467026	0.71	71.075	
0.647946	0.71	71.08	
0.515412	0.71	71.085	
0.286106	0.71	71.09	
0.376566	0.71	71.095	
0.544864	0.71	71.1	
0.462819	0.711	71.105	
0.328181	0.711	71.11	
0.490167	0.711	71.115	
0.654258	0.711	71.12	
0.481752	0.711	71.125	
0.290314	0.711	71.13	
0.357633	0.711	71.135	
0.521723	0.711	71.14	
0.387085	0.711	71.145	
0.239824	0.711	71.15	
0.389189	0.711	71.155	
0.59325	0.711	71.16	
0.506997	0.711	71.165	
0.342907	0.711	71.17	
0.473337	0.711	71.175	
0.631117	0.711	71.18	
0.50279	0.711	71.185	
0.317662	0.711	71.19	
0.422848	0.711	71.195	
0.584835	0.711	71.2	
0.509101	0.712	71.205	
0.355529	0.712	71.21	
0.488064	0.712	71.215	
0.618494	0.712	71.22	
0.427056	0.712	71.225	
0.201957	0.712	71.23	
0.302936	0.712	71.235	
0.490167	0.712	71.24	
0.43547	0.712	71.245	
0.338699	0.712	71.25	
0.490167	0.712	71.255	
0.658465	0.712	71.26	
0.534345	0.712	71.265	
0.340803	0.712	71.27	
0.3955	0.712	71.275	
0.521723	0.712	71.28	
0.41233	0.712	71.285	
0.28821	0.712	71.29	
0.410226	0.712	71.295	
0.603768	0.712	71.3	
0.509101	0.713	71.305	
0.353425	0.713	71.31	
0.456508	0.713	71.315	
0.586938	0.713	71.32	
0.437574	0.713	71.325	
0.277691	0.713	71.33	
0.429159	0.713	71.335	
0.601665	0.713	71.34	
0.530138	0.713	71.345	
0.384981	0.713	71.35	
0.496478	0.713	71.355	
0.626909	0.713	71.36	
0.4523	0.713	71.365	
0.281899	0.713	71.37	
0.357633	0.713	71.375	
0.511204	0.713	71.38	
0.431263	0.713	71.385	
0.323973	0.713	71.39	
0.460715	0.713	71.395	
0.620598	0.713	71.4	
0.528034	0.714	71.405	
0.387085	0.714	71.41	
0.490167	0.714	71.415	
0.59325	0.714	71.42	
0.406018	0.714	71.425	
0.279795	0.714	71.43	
0.437574	0.714	71.435	
0.605872	0.714	71.44	
0.46913	0.714	71.445	
0.307143	0.714	71.45	
0.420744	0.714	71.455	
0.530138	0.714	71.46	
0.401811	0.714	71.465	
0.248239	0.714	71.47	
0.401811	0.714	71.475	
0.578524	0.714	71.48	
0.498582	0.714	71.485	
0.3955	0.714	71.49	
0.513308	0.714	71.495	
0.641635	0.714	71.5	
0.511204	0.715	71.505	
0.338699	0.715	71.51	
0.456508	0.715	71.515	
0.561694	0.715	71.52	
0.374463	0.715	71.525	
0.235617	0.715	71.53	
0.3955	0.715	71.535	
0.591146	0.715	71.54	
0.467026	0.715	71.545	
0.340803	0.715	71.55	
0.471234	0.715	71.555	
